,C-reactive protein,Neutrophill count,Neutrophill percentage,Monocyte count,Monocyte percentage,Basophill count,Basophill percentage,Eosinophill count,Eosinophill percentage,Urea,Urate,Mean platelet volume,Mean corpuscular haemoglobin concentration,Mean corpuscular haemoglobin,Total bilirubin,Total protein,Lymphocyte count,Lymphocyte percentage,Leukocyte count,Albumin,Direct bilirubin,Alkaline phosphatase,Phosphate,Erythrocyte count,Erythrocyte distribution width,Haematocrit percentage,Mean corpuscular volume,Creatinine,Cystatin C,Glucose,Platelet count,Platelet distribution width,Platelet crit,Haemoglobin concentration,Alanine aminotransferase,Glutamyltransferase,Aspartate aminotransferase,Calcium,Sex,Age
COL27A1,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
TNC,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
SCD,-15.022440898350123,25.942280610972105,0.0,0.0,0.0,0.0,-0.0,46.1415982844373,0.0,26.816591444996583,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-10.868296926025366,0.0,0.9314306077339515,-0.0,-3.7774399440473716,-23.109213567551965,-0.0,6.935564635198125,-49.633788508408564,-0.0,-0.0,0.0,-0.0,20.263165996014713,-0.0,0.0,-0.0,-0.0,11.415966807860286,-0.0,19.539036659945403,-0.0,0.0
MMP3,0.0,-0.0,-16.829785972099007,0.0,0.0,180.34257920532932,0.0,-0.0,-0.0,0.0,-85.56848936959564,-101.99292978585348,-0.0,-75.93478295255905,-0.0,0.0,28.145019976930765,0.0,0.0,21.0875611976057,-0.0,0.0,10.28972293050952,0.0,153.33217549093808,196.18621315224885,-0.0,0.0,0.0,56.73261667885905,0.0,-83.64875208921526,0.0,0.0,-0.0,-0.0,-91.47442985863779,0.0,-0.0,0.0
LEPREL2,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,2.0410980008047703,-0.0,-0.0,9.164211222283798,0.0,5.940361643212714,0.0,0.0,-8.448239057292248,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-11.224037017624129,-0.0,-0.0
SOX5,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
ITGA5,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.7740876662371894,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.12371026458348493,-0.0,-0.0,-0.0,-0.0
SERPINA1,71.0636244354523,-0.0,-0.0,0.0,56.53543587640913,0.0,38.55029378830969,0.0,17.852703103935266,-79.46177546593151,-31.25262921815035,0.0,0.0,0.0,0.0,-0.0,0.0,0.06701968847305947,-0.0,-0.0,0.0,-52.51068958613379,0.0,94.98478612779071,0.0,110.03851888671075,0.0,156.4816905789271,-90.52746439346386,0.0,-0.0,0.0,-71.95482625400089,36.82327354019441,-0.0,-0.0,0.0,-75.27112924526769,-117.49797320156594,-0.0
SERPINA3,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-13.066104843896888,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-33.3152325600086,-0.0,24.740794848583544,-0.0,-0.0,-0.0,-26.23850120530094,-0.0,0.0
CILP,295.0380365802073,-0.0,2393.8114561169373,-0.0,2046.5985858687545,-0.0,114.3639623814723,-223.7639096866785,-0.0,-1088.385447022511,-120.89479808363744,566.2124718829037,-0.0,-191.5220514840762,-0.0,1474.3625123337674,-0.0,2366.9702537665084,-633.1150488069759,-0.0,-371.1988662703442,-484.2875103642063,629.7201612111168,562.2077288039001,242.55953662814366,1115.3677634922067,-0.0,1893.7290657100336,-1864.0462157202144,7.658489205534032,-690.331168945539,0.0,-0.0,0.0,-9.016101183239723,-419.82069028676,617.8314929127757,-1764.893640614943,993.865881979276,-21.00243547819578
CSPG4,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-14.974408037753168,-0.0,-0.0,0.0,0.0,0.0,0.0,1.6234485880392004,-0.0,6.249905844355146,0.0,0.0,0.0,0.0,-0.0,19.510185024592055,0.0,0.0,-0.0,0.0,-0.0,-4.044739216389874,-0.0,0.0,-2.8754133948016785,-2.096672316194587,-0.0,0.0,0.0,6.1300991999627366
ACAN,0.0,-173.49526207764276,-0.0,-0.0,0.0,0.0,44.88239792197114,0.0,0.0,-0.0,-410.2113815333911,-0.0,-0.0,-49.93162148259173,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,178.6800145903703,0.0,64.32382034815319,129.41352863272166,-0.0,810.160480788577,-817.401610312843,48.7597297255972,-0.0,-154.20906715640186,-134.58385870877316,0.0,-188.5367474631189,-0.0,-0.0,-0.0,-0.0,179.21578207830726
XYLT1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
ELANE,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
COL9A3,0.0,-25.599550786584974,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127.06442584201668,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,18.82984610253816,-0.0,174.55113927885134,-0.0,19.02017249782102,-66.31618525113201,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
BGN,269.5354686758812,-2.7762773228932556,-0.0,-0.0,16.33452310949623,-172.18809606126962,-0.0,-0.0,-0.0,-140.56360936819908,-340.307528216064,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-43.4971954344183,0.0,0.0,0.0,141.03454271263985,14.752780118462548,-0.0,494.53989982207645,-0.0,239.26532905335773,-473.17496038517737,0.0,-171.12284371972106,-0.0,-0.0,397.50006240275457,-85.45752095233267,-0.0,-0.0,-76.2616653861622,-0.0,0.0
